person_id,status,reason
154059,skipped_no_route,"no car route 124196670->31964799#3 (disconnected components (vclass=passenger, component_visits~154534))"
154064,ok,
154066,ok,
154082,ok,
154117,ok,
15414,ok,
154144,ok,
154146,ok,
154160,ok,
154161,ok,
154165,ok,
15417,ok,
15418,ok,
154184,ok,
154186,ok,
154187,ok,
154188,ok,
154213,ok,
154214,ok,
154227,skipped_no_route,"no car route -124211995#2->18891447#2 (disconnected components (vclass=passenger, component_visits~154534))"
154228,ok,
154248,ok,
154300,ok,
154301,ok,
154321,ok,
154346,ok,
154360,ok,
154361,ok,
154374,ok,
154375,ok,
154425,ok,
154426,ok,
154446,skipped_no_route,"no car route 70847366#4->18891447#2 (disconnected components (vclass=passenger, component_visits~154534))"
154447,ok,
154497,ok,
154498,ok,
154499,ok,
154547,ok,
154548,ok,
154549,ok,
154550,skipped_no_route,"no car route -226374628#1->18891447#2 (disconnected components (vclass=passenger, component_visits~154534))"
154571,ok,
154572,ok,
154575,ok,
154576,ok,
154582,ok,
154583,ok,
154584,ok,
154585,ok,
154594,ok,
154595,ok,
154596,ok,
154605,ok,
154606,ok,
154607,ok,
154608,ok,
154762,ok,
154764,ok,
154769,skipped_no_route,"no car route -122632713#1->1221115224 (disconnected components (vclass=passenger, component_visits~154534))"
154770,ok,
154775,ok,
154776,ok,
154780,ok,
154781,ok,
154808,ok,
154813,ok,
154814,ok,
154815,ok,
154816,ok,
154867,ok,
154868,ok,
154908,ok,
154909,ok,
154910,ok,
154911,ok,
154912,ok,
154937,ok,
154941,ok,
154942,ok,
154943,ok,
154950,ok,
154951,ok,
154952,ok,
154986,ok,
154988,ok,
15527,ok,
15571,ok,
15572,ok,
15579,ok,
15580,ok,
15600,ok,
15602,ok,
15612,ok,
15639,ok,
15640,ok,
15641,ok,
15642,ok,
15676,ok,
15678,ok,
15680,ok,
15686,ok,
15688,ok,
15706,ok,
15707,ok,
15720,ok,
15744,ok,
15771,ok,
15776,ok,
1584,ok,
1586,ok,
1587,ok,
15939,ok,
15994,ok,
15995,ok,
15996,ok,
15997,ok,
16004,ok,
16005,ok,
16008,ok,
16009,ok,
16084,ok,
16101,ok,
16102,ok,
16103,ok,
16104,ok,
16153,ok,
16154,ok,
16155,ok,
16198,ok,
162128,ok,
162129,ok,
162139,ok,
162142,ok,
162143,ok,
162196,skipped_no_route,"no pedestrian route 712725424->-432881894 (disconnected components (vclass=pedestrian, component_visits~205389))"
162197,ok,
162262,ok,
162263,ok,
162267,ok,
162268,ok,
162340,ok,
162341,ok,
162342,ok,
162367,ok,
162368,ok,
16239,ok,
16240,ok,
162416,ok,
162417,ok,
162418,ok,
162447,ok,
162448,ok,
162506,ok,
162507,ok,
16253,ok,
16254,ok,
16256,ok,
162561,ok,
162562,ok,
162563,ok,
16257,ok,
16258,ok,
16264,ok,
162640,ok,
162642,ok,
16265,ok,
16266,ok,
162667,ok,
162668,ok,
16267,ok,
162679,ok,
162680,ok,
162681,ok,
162683,ok,
162684,ok,
162691,ok,
162692,ok,
162709,ok,
162710,ok,
162711,ok,
162713,ok,
162714,ok,
162715,ok,
162770,ok,
162771,ok,
162773,ok,
162779,ok,
162780,ok,
162782,ok,
162783,ok,
16282,ok,
16283,ok,
16286,ok,
16290,ok,
162977,ok,
162994,ok,
162995,ok,
163003,ok,
163035,ok,
163046,ok,
163047,ok,
163048,ok,
163073,ok,
163098,ok,
163117,ok,
163141,ok,
163142,ok,
163184,skipped_no_route,"no car route -37885928#3->-696517148#0 (disconnected components (vclass=passenger, component_visits~154534))"
163214,ok,
163256,ok,
163257,ok,
163379,ok,
163380,ok,
163381,ok,
163428,ok,
163542,ok,
163543,ok,
163550,ok,
163551,ok,
163552,ok,
163559,ok,
163560,ok,
163616,ok,
163618,ok,
163692,ok,
163693,ok,
163776,ok,
163821,ok,
163822,ok,
163827,ok,
163828,ok,
163829,ok,
163830,ok,
163921,ok,
163922,ok,
163923,ok,
163924,ok,
163982,ok,
163983,ok,
163984,ok,
163985,ok,
164039,ok,
164125,ok,
164126,ok,
164127,ok,
164136,ok,
164204,ok,
164282,ok,
164283,ok,
164284,ok,
164288,ok,
164321,ok,
164322,ok,
164333,ok,
164334,ok,
164335,ok,
164336,ok,
164391,ok,
164392,ok,
164393,ok,
164394,ok,
164467,ok,
164468,ok,
164858,ok,
164859,ok,
164872,ok,
164874,ok,
164875,ok,
164912,ok,
164913,ok,
164975,ok,
164976,ok,
164977,ok,
164984,ok,
164986,ok,
165012,ok,
165013,ok,
165028,ok,
165029,ok,
16503,ok,
165037,ok,
165040,ok,
165047,ok,
165069,ok,
165071,ok,
165181,ok,
165182,ok,
165183,ok,
165254,ok,
165255,ok,
165256,ok,
165292,ok,
165307,ok,
165308,ok,
165309,ok,
16546,ok,
165463,ok,
165464,ok,
165465,ok,
165466,ok,
16547,ok,
165475,ok,
165606,ok,
165676,ok,
165677,ok,
165680,ok,
165681,ok,
165696,ok,
165697,ok,
165698,ok,
165730,ok,
165738,ok,
165739,ok,
165756,ok,
165818,skipped_no_route,"no car route 190928066#11->48052036#2 (disconnected components (vclass=passenger, component_visits~16))"
165837,ok,
16587,ok,
165882,ok,
165884,ok,
165885,ok,
16589,ok,
16590,ok,
165910,ok,
165911,ok,
165912,ok,
165913,ok,
165936,ok,
165947,ok,
165968,ok,
165969,ok,
165976,ok,
165978,ok,
165984,ok,
165985,ok,
16606,ok,
16607,ok,
16608,ok,
166084,ok,
16609,ok,
